Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM	Tissue_specific
SFTPA1	COLEC4, SFTP1, SP-A, SP-A1	ENSG00000122852	Surfactant protein A1	10	79610939-79615455	Disease related genes, Predicted secreted proteins	Evidence at protein level	CAB016793, HPA042638, HPA045752, HPA049368	Supported	NA	NA	NA	NA	Tissue enriched	Tissue enriched	1180	lung: 10513.5	adrenal gland: 8.9	Group enriched	6	RPMI-8226: 29.9;U-2197: 6.8	Lung
SFTPB	SFTP3, SP-B	ENSG00000168878	Surfactant protein B	2	85657314-85668741	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB002440, HPA034820, HPA062148	Enhanced	NA	NA	NA	Endometrial cancer:1.71e-6 (unfavourable), Renal cancer:2.99e-6 (unfavourable)	Group enriched	Tissue enriched	912	lung: 5318.7	adrenal gland: 5.8	Cell line enhanced	NA	BEWO: 2.8;U-2197: 6.3	Lung
SFTPC	BRICD6, PSP-C, SFTP2, SMDP2, SP-C	ENSG00000168484	Surfactant protein C	8	22156913-22164479	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA010928	Enhanced	NA	NA	NA	NA	Tissue enriched	Tissue enriched	832	lung: 25269.5	adrenal gland: 30.3	Group enriched	9	BEWO: 9.2;NB-4: 8.0;SCLC-21H: 6.1;U-2197: 24.0	Lung
SFTA3	NANCI, SFTPH	ENSG00000229415	Surfactant associated 3	14	36473288-36513829	Predicted intracellular proteins	Evidence at protein level	NA	NA	NA	NA	NA	Lung cancer:8.29e-4 (favourable)	Group enriched	Group enriched	467	lung: 85.7;thyroid gland: 49.2	stomach: 0.1	Cell line enriched	234	SCLC-21H: 23.3	Lung
SFTPA2	COLEC5, SP-A2	ENSG00000185303	Surfactant protein A2	10	79555852-79560402	Disease related genes, Predicted secreted proteins	Evidence at protein level	CAB002439, HPA042638, HPA045752, HPA049368	Enhanced	NA	NA	NA	NA	Tissue enriched	Tissue enriched	383	lung: 15972.2	prostate: 41.7	Group enriched	18	BEWO: 7.1;NB-4: 5.1;RPMI-8226: 17.9;U-2197: 13.9	Lung
SCGB3A2	LU103, PNSP1, UGRP1	ENSG00000164265	Secretoglobin family 3A member 2	5	147870682-147882191	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Tissue enriched	Tissue enriched	188	lung: 1867.1	thyroid gland: 9.9	Cell line enhanced	NA	A-431: 76.2;EFO-21: 49.6;NTERA-2: 60.1;PC-3: 279.6	Lung
AGER	RAGE, SCARJ1	ENSG00000204305	Advanced glycosylation end-product specific receptor	6	32180968-32184324	Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB011682, HPA064436	Enhanced	NA	Approved	Nucleoli fibrillar center<br>Plasma membrane<br>Cell Junctions	Renal cancer:9.01e-7 (unfavourable), Urothelial cancer:2.74e-6 (favourable), Pancreatic cancer:3.41e-4 (favourable)	Expressed in all	Tissue enriched	181	lung: 889.2	thyroid gland: 4.9	Cell line enhanced	NA	HEK93: 2.5;U-266/70: 2.6	Lung
NKX2-1	BCH, NKX2A, TITF1, TTF-1, TTF1	ENSG00000136352	NK2 homeobox 1	14	36516392-36521149	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB000078, CAB053633, HPA074316	Enhanced	NA	Uncertain	Golgi apparatus<br>Vesicles	NA	Group enriched	Group enriched	177	lung: 101.3;thyroid gland: 103.5	stomach: 0.5	Cell line enriched	36	SCLC-21H: 119.8	Lung
CLDN18	SFTPJ	ENSG00000066405	Claudin 18	3	137998735-138033655	Predicted membrane proteins	Evidence at protein level	CAB013010, CAB013243, HPA018446	Enhanced	NA	NA	NA	NA	Group enriched	Group enriched	85	lung: 361.8;stomach: 689.7	heart muscle: 6.1	Not detected	NA	NA	Lung
C4BPA	C4BP	ENSG00000123838	Complement component 4 binding protein alpha	1	207104262-207144972	Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA000926, HPA001578	Enhanced	NA	NA	NA	Endometrial cancer:6.37e-5 (favourable), Liver cancer:2.24e-4 (favourable)	Tissue enriched	Group enriched	65	liver: 997.5;lung: 262.3	cervix, uterine: 9.6	Cell line enriched	6	Hep G2: 25.8	Lung
SFTPD	COLEC7, SFTP4, SP-D	ENSG00000133661	Surfactant protein D	10	79937740-79982614	Predicted secreted proteins	Evidence at protein level	CAB004578, HPA044582, HPA056768	Enhanced	NA	NA	NA	NA	Tissue enriched	Tissue enriched	56	lung: 782.5	bone marrow: 13.8	Cell line enhanced	NA	BEWO: 1.3;hTCEpi: 2.3;MCF7: 1.1	Lung
SCN1A	FEB3, GEFSP2, HBSCI, NAC1, Nav1.1, SCN1, SMEI	ENSG00000144285	Sodium voltage-gated channel alpha subunit 1	2	165989160-166149214	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	HPA078664	NA	NA	Supported	Nucleoplasm<br>Nuclear bodies<br>Plasma membrane	NA	Tissue enriched	Group enriched	41	cerebral cortex: 10.3;fallopian tube: 2.9;lung: 2.2	adrenal gland,placenta,testis: 0.1	Cell line enhanced	NA	AF22: 1.1;ASC TERT1: 4.4;Hep G2: 1.1	Lung
ROS1	c-ros-1, MCF3, ROS	ENSG00000047936	ROS proto-oncogene 1, receptor tyrosine kinase	6	117288300-117425855	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA049098, HPA072424	Uncertain	NA	Approved	Vesicles	NA	Tissue enriched	Group enriched	18	epididymis: 70.9;lung: 47.2	seminal vesicle: 3.2	Cell line enhanced	NA	HSkMC: 7.5;hTCEpi: 15.7;LHCN-M2: 12.7	Lung
AQP4	MIWC	ENSG00000171885	Aquaporin 4	18	26852038-26865818	Predicted membrane proteins, Transporters	Evidence at protein level	CAB005079, HPA014784, CAB058689	Enhanced	Supported	Supported	Plasma membrane<br>Cell Junctions	NA	Tissue enriched	Group enriched	16	cerebral cortex: 630.0;lung: 171.9	thyroid gland: 24.4	Cell line enhanced	NA	AF22: 2.4;RPTEC TERT1: 1.0	Lung
CHIT1	CHI3, CHIT	ENSG00000133063	Chitinase 1	1	203212827-203273641	Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA010575	Approved	NA	NA	NA	Cervical cancer:2.02e-4 (favourable)	Tissue enhanced	Group enriched	14	bone marrow: 31.3;breast: 10.9;cervix, uterine: 13.5;lung: 53.2;lymph node: 21.0	prostate,thyroid gland: 1.8	Not detected	NA	NA	Lung
GGTLC1	dJ831C21.1, dJ831C21.2, GGTLA3, GGTLA4	ENSG00000149435	Gamma-glutamyltransferase light chain 1	20	23985050-23988779	Predicted intracellular proteins	Evidence at protein level	HPA045635, HPA047534	Uncertain	NA	NA	NA	NA	Tissue enriched	Group enriched	14	lung: 38.7;testis: 15.8	thyroid gland: 1.9	Not detected	NA	NA	Lung
NAPSA	KAP, Kdap, NAP1, NAPA	ENSG00000131400	Napsin A aspartic peptidase	19	50358477-50365830	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB009591, HPA045280, HPA047236, HPA047744	Enhanced	NA	NA	NA	Renal cancer:1.21e-4 (favourable)	Tissue enriched	Tissue enriched	14	lung: 1412.2	kidney: 101.4	Cell line enriched	23	U-698: 27.1	Lung
RASGRF1	CDC25, CDC25L, GNRP, GRF1, GRF55, H-GRF55, PP13187	ENSG00000058335	Ras protein specific guanine nucleotide releasing factor 1	15	78959947-79090773	Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB010413, HPA041965	Approved	NA	Supported	Golgi apparatus	Endometrial cancer:6.14e-6 (favourable)	Mixed	Group enriched	14	cerebral cortex: 30.5;lung: 11.3	lymph node: 1.5	Cell line enhanced	NA	A-431: 7.3;BEWO: 7.5;Karpas-707: 7.5;RPMI-8226: 9.0;U-2 OS: 15.8	Lung
CHIA	AMCase, CHIT2, TSA1902	ENSG00000134216	Chitinase, acidic	1	111290862-111320566	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA059193	Approved	NA	NA	NA	NA	Tissue enhanced	Group enriched	11	lung: 15.6;stomach: 8.2	endometrium: 1.1	Cell line enhanced	NA	ASC diff: 1.1	Lung
MS4A15	NA	ENSG00000166961	Membrane spanning 4-domains A15	11	60756953-60776732	Predicted membrane proteins	Evidence at transcript level	NA	NA	NA	NA	NA	NA	Tissue enhanced	Tissue enriched	11	lung: 71.4	endometrium: 6.2	Cell line enhanced	NA	HEL: 6.6;MOLT-4: 2.7;U-266/70: 7.9;U-266/84: 3.3	Lung
